noise number; onset time ms; duration ms
1; 16.666667; 6183.333333
2; 7900.000000; 16.666667
3; 8350.000000; 16.666667
4; 9350.000000; 16.666667
5; 9800.000000; 16.666667
6; 9866.666667; 16.666667
7; 10850.000000; 16.666667
8; 12666.666667; 16.666667
9; 14716.666667; 16.666667
10; 15366.666667; 16.666667
11; 18366.666667; 16.666667
12; 21366.666667; 16.666667
13; 21700.000000; 16.666667
14; 22083.333333; 16.666667
15; 23250.000000; 16.666667
16; 24383.333333; 16.666667
17; 25233.333333; 16.666667
18; 25300.000000; 16.666667
19; 25866.666667; 16.666667
20; 27983.333333; 16.666667
21; 29416.666667; 16.666667
22; 30466.666667; 16.666667
23; 32100.000000; 16.666667
24; 32383.333333; 16.666667
25; 32700.000000; 16.666667
26; 37183.333333; 16.666667
27; 38350.000000; 16.666667
28; 41316.666667; 16.666667
29; 42266.666667; 5416.666667
30; 8383.333333; 16.666667
31; 9833.333333; 16.666667
32; 12700.000000; 16.666667
33; 15400.000000; 50.000000
34; 21733.333333; 16.666667
35; 25266.666667; 16.666667
36; 26633.333333; 16.666667
37; 28016.666667; 16.666667
38; 30416.666667; 33.333333
39; 31933.333333; 33.333333
40; 32016.666667; 66.666667
41; 32416.666667; 16.666667
42; 32483.333333; 33.333333
43; 32950.000000; 16.666667
44; 33016.666667; 83.333333
45; 37216.666667; 16.666667
46; 39350.000000; 50.000000
